id_trt,id_cont
920835,902146
922144,921798
924721,912868
925136,924386
925704,905465
926886,910894
927184,933774
927549,922262
928782,916853
928951,933735
929689,920764
929735,932188
930079,900919
932052,919121
933390,907177
933600,923042
933806,925233
900215,911357
900299,924842
901906,908390
903157,901238
904922,900176
905491,928870
906363,928944
907549,915974
908753,922493
909009,931008
909400,919858
912631,921648
913436,923563
915188,913042
917565,930711
917770,931560
917831,914323
918078,924427
919657,921538
920646,926188
921250,911852
921320,911753
921835,918826
923348,904383
924456,931132
924805,917003
925799,920874
927271,926074
927403,927126
927746,924168
929947,919400
931920,930764
932758,912494
933446,916150
933807,903234
901227,900275
902979,933255
903030,914865
908484,929887
927163,932393
927394,921368
931377,929013
931807,928986
